时间,价格(usd),成交额,市值
"2021-03-03 00:00","1.0005284201","23319776.4115654267","2523263831.7863111496",
"2021-03-02 00:00","1.0017600181","26790515.4632536694","2484864297.7687935829",
"2021-03-01 00:00","1.0010781994","31560928.3610518016","2413750156.3765692711",
"2021-02-28 00:00","1.0017173858","28249107.0379100256","2307011074.9649772644",
"2021-02-27 00:00","0.9992953283","19859548.9439417087","2301541007.0248746872",
"2021-02-26 00:00","1.0030856254","38736763.1067506298","2310270682.5919971466",
"2021-02-25 00:00","1.0001733081","25545786.7906528153","2074009853.0808129311",
"2021-02-24 00:00","0.9988577067","52245717.0798907503","2071281755.5136225224",
"2021-02-23 00:00","1.0002733282","96399966.7878214568","2074217259.6806306839",
"2021-02-22 00:00","1.0003381843","52166145.4846755192","2074351748.7012722492",
"2021-02-21 00:00","0.9993711251","21745905.9882557914","2072346405.9378852844",
"2021-02-20 00:00","1.0035487059","26438529.1389536373","2081009248.3656637669",
